"rank";"id";"name";"id_other";"name_other";"height_diff";"height_diff_other";"length";"length_other";"duration";"duration_other";"slope_cat";"slope_cat_other";"slopeType";"slopetype_other";"regionId";"regionid_other";"embedding";"embedding_other";"angle"
2;101;Olang 2;102;Plateau;201;248;1.200;1.114;373;410;easy;easy;blue;blue;2;2;{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};0,0140533196
3;101;Olang 2;109;Korer 1;201;160;1.200;1.100;373;333;easy;easy;blue;blue;2;2;{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};0,0154199545
1;102;Plateau;110;Korer 2;248;160;1.114;1.100;410;448;easy;easy;blue;blue;2;2;{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};{0.00836557565617484,0.09166666666666666,0.1433141394753679,0.3333333333333333,0.25,0.16666666666666666};0,0130499784
2;102;Plateau;101;Olang 2;248;201;1.114;1.200;410;373;easy;easy;blue;blue;2;2;{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};0,0140533196
3;102;Plateau;103;Belvedere 7;248;268;1.114;1.200;410;368;easy;easy;blue;blue;2;2;{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};0,0152634414
1;103;Belvedere 7;101;Olang 2;268;201;1.200;1.200;368;373;easy;easy;blue;blue;2;2;{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};0,0038509694
2;103;Belvedere 7;141;Berglift;268;234;1.200;1.200;368;325;easy;easy;blue;blue;2;2;{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};{0.012234654397155703,0.1,0.10396673064619322,0.3333333333333333,0.25,0.16666666666666666};0,0138699908
3;103;Belvedere 7;109;Korer 1;268;160;1.200;1.100;368;333;easy;easy;blue;blue;2;2;{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};0,0150562326
1;104;Belvedere 8;141;Berglift;68;234;1.400;1.200;301;325;easy;easy;blue;blue;2;2;{0.003555369653874307,0.11666666666666667,0.09628918746001279,0.3333333333333333,0.25,0.16666666666666666};{0.012234654397155703,0.1,0.10396673064619322,0.3333333333333333,0.25,0.16666666666666666};0,0202990746
2;104;Belvedere 8;109;Korer 1;68;160;1.400;1.100;301;333;easy;easy;blue;blue;2;2;{0.003555369653874307,0.11666666666666667,0.09628918746001279,0.3333333333333333,0.25,0.16666666666666666};{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};0,0274395446
3;104;Belvedere 8;103;Belvedere 7;68;268;1.400;1.200;301;368;easy;easy;blue;blue;2;2;{0.003555369653874307,0.11666666666666667,0.09628918746001279,0.3333333333333333,0.25,0.16666666666666666};{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};0,0290947683
1;105;Furcia 9;123;Marchner;533;556;2.702;2.280;671;467;easy;easy;blue;blue;2;2;{0.02786782390463244,0.22516666666666665,0.2146513115802943,0.3333333333333333,0.25,0.16666666666666666};{0.02907037540520757,0.19,0.14939219449776073,0.3333333333333333,0.25,0.16666666666666666};0,0741410341
2;105;Furcia 9;122;Hinterberg;533;700;2.702;2.900;671;444;easy;easy;blue;blue;2;2;{0.02786782390463244,0.22516666666666665,0.2146513115802943,0.3333333333333333,0.25,0.16666666666666666};{0.03659939349576493,0.24166666666666667,0.1420345489443378,0.3333333333333333,0.25,0.16666666666666666};0,0749778936
3;105;Furcia 9;224;Biok - Saraghes;533;218;2.702;2.600;671;663;easy;easy;blue;blue;2;3;{0.02786782390463244,0.22516666666666665,0.2146513115802943,0.3333333333333333,0.25,0.16666666666666666};{0.01139809683153822,0.21666666666666667,0.21209213051823417,0.3333333333333333,0.25,0.25};0,0854078203
1;106;Sonne;116;Ruipa;206;206;900;890;261;271;easy;easy;blue;blue;2;2;{0.010770678657325106,0.075,0.08349328214971209,0.3333333333333333,0.25,0.16666666666666666};{0.010770678657325106,0.07416666666666667,0.08669225847728727,0.3333333333333333,0.25,0.16666666666666666};0,0033057365
2;106;Sonne;140;Guggenberg;206;181;900;950;261;257;easy;easy;blue;blue;2;2;{0.010770678657325106,0.075,0.08349328214971209,0.3333333333333333,0.25,0.16666666666666666};{0.009463557461047788,0.07916666666666666,0.08221369161868203,0.3333333333333333,0.25,0.16666666666666666};0,0045504976
3;106;Sonne;115;Pracken;206;184;900;892;261;277;easy;easy;blue;blue;2;2;{0.010770678657325106,0.075,0.08349328214971209,0.3333333333333333,0.25,0.16666666666666666};{0.009620412004601066,0.07433333333333333,0.08861164427383238,0.3333333333333333,0.25,0.16666666666666666};0,0052882122
1;107;Sonne 11;129;Rara 33;206;172;1.000;818;215;316;medium;medium;red;red;2;2;{0.010770678657325106,0.08333333333333333,0.06877799104286628,0.6666666666666666,0.5,0.16666666666666666};{0.008992993830387954,0.06816666666666667,0.10108765195137556,0.6666666666666666,0.5,0.16666666666666666};0,0357365657
2;107;Sonne 11;97;Seewiese 2R;206;312;1.000;700;215;129;medium;medium;red;red;2;2;{0.010770678657325106,0.08333333333333333,0.06877799104286628,0.6666666666666666,0.5,0.16666666666666666};{0.016312872529540938,0.058333333333333334,0.04126679462571977,0.6666666666666666,0.5,0.16666666666666666};0,0375843297
3;107;Sonne 11;132;Cianross;206;104;1.000;465;215;126;medium;medium;red;red;2;2;{0.010770678657325106,0.08333333333333333,0.06877799104286628,0.6666666666666666,0.5,0.16666666666666666};{0.005437624176513646,0.03875,0.04030710172744722,0.6666666666666666,0.5,0.16666666666666666};0,0531667812
1;108;Furcia 12;137;Piz de Plaies;525;435;2.427;2.310;493;457;medium;medium;red;red;2;2;{0.027449545121823696,0.20225,0.15770953294945617,0.6666666666666666,0.5,0.16666666666666666};{0.02274390881522535,0.1925,0.14619321817018555,0.6666666666666666,0.5,0.16666666666666666};0,0158060438
2;108;Furcia 12;119;Arndt;525;410;2.427;2.028;493;451;medium;medium;red;red;2;2;{0.027449545121823696,0.20225,0.15770953294945617,0.6666666666666666,0.5,0.16666666666666666};{0.02143678761894803,0.169,0.14427383237364044,0.6666666666666666,0.5,0.16666666666666666};0,036362533
3;108;Furcia 12;99;Pramstall;525;541;2.427;2.000;493;448;medium;medium;red;red;2;2;{0.027449545121823696,0.20225,0.15770953294945617,0.6666666666666666,0.5,0.16666666666666666};{0.02828610268744118,0.16666666666666666,0.1433141394753679,0.6666666666666666,0.5,0.16666666666666666};0,0383940203
1;109;Korer 1;141;Berglift;160;234;1.100;1.200;333;325;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};{0.012234654397155703,0.1,0.10396673064619322,0.3333333333333333,0.25,0.16666666666666666};0,0095374851
2;109;Korer 1;103;Belvedere 7;160;268;1.100;1.200;333;368;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};{0.014012339224092858,0.1,0.11772232885476648,0.3333333333333333,0.25,0.16666666666666666};0,0150562326
3;109;Korer 1;101;Olang 2;160;201;1.100;1.200;333;373;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.10652591170825336,0.3333333333333333,0.25,0.16666666666666666};{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};0,0154199545
1;110;Korer 2;102;Plateau;160;248;1.100;1.114;448;410;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.1433141394753679,0.3333333333333333,0.25,0.16666666666666666};{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};0,0130499784
2;110;Korer 2;121;Lorenzi;160;363;1.100;1.334;448;431;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.1433141394753679,0.3333333333333333,0.25,0.16666666666666666};{0.01897939976994667,0.11116666666666666,0.13787587971849008,0.3333333333333333,0.25,0.16666666666666666};0,0228577762
3;110;Korer 2;101;Olang 2;160;201;1.100;1.200;448;373;easy;easy;blue;blue;2;2;{0.00836557565617484,0.09166666666666666,0.1433141394753679,0.3333333333333333,0.25,0.16666666666666666};{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};0,0254886512
1;111;Ried;374;La Longia - Furnes;1.340;811;7.000;5.750;1.065;960;medium;medium;red;red;2;4;{0.07006169612046428,0.5833333333333334,0.34069097888675626,0.6666666666666666,0.5,0.16666666666666666};{0.042403011607236224,0.4791666666666667,0.30710172744721687,0.6666666666666666,0.5,0.3333333333333333};0,2013000568
2;111;Ried;373;La Longia;1.340;450;7.000;5.750;1.065;642;medium;medium;red;red;2;4;{0.07006169612046428,0.5833333333333334,0.34069097888675626,0.6666666666666666,0.5,0.16666666666666666};{0.02352818153299174,0.4791666666666667,0.2053742802303263,0.6666666666666666,0.5,0.3333333333333333};0,2431140661
3;111;Ried;381;Pilat;1.340;778;7.000;4.703;1.065;758;medium;medium;red;red;2;4;{0.07006169612046428,0.5833333333333334,0.34069097888675626,0.6666666666666666,0.5,0.16666666666666666};{0.04067761162815016,0.3919166666666667,0.24248240563019835,0.6666666666666666,0.5,0.3333333333333333};0,2737269923
1;112;Ried;576;Bellunese;1.340;1.819;10.846;12.000;2;642;medium;medium;red;red;2;6;{0.07006169612046428,0.9038333333333334,0.000639795265515,0.6666666666666666,0.5,0.16666666666666666};{0.09510613824113771,1.0,0.2053742802303263,0.6666666666666666,0.5,0.5};0,403611908
2;112;Ried;111;Ried;1.340;1.340;10.846;7.000;2;1.065;medium;medium;red;red;2;2;{0.07006169612046428,0.9038333333333334,0.000639795265515,0.6666666666666666,0.5,0.16666666666666666};{0.07006169612046428,0.5833333333333334,0.34069097888675626,0.6666666666666666,0.5,0.16666666666666666};0,4672847713
3;112;Ried;373;La Longia;1.340;450;10.846;5.750;2;642;medium;medium;red;red;2;4;{0.07006169612046428,0.9038333333333334,0.000639795265515,0.6666666666666666,0.5,0.16666666666666666};{0.02352818153299174,0.4791666666666667,0.2053742802303263,0.6666666666666666,0.5,0.3333333333333333};0,5021963091
1;113;Spitzhorn;85;Tambres;349;199;1.730;1.524;869;712;easy;easy;blue;blue;2;1;{0.01824741190003137,0.14416666666666667,0.2779910428662828,0.3333333333333333,0.25,0.16666666666666666};{0.010404684722367458,0.127,0.22776711452335252,0.3333333333333333,0.25,0.08333333333333333};0,0991115041
2;113;Spitzhorn;105;Furcia 9;349;533;1.730;2.702;869;671;easy;easy;blue;blue;2;2;{0.01824741190003137,0.14416666666666667,0.2779910428662828,0.3333333333333333,0.25,0.16666666666666666};{0.02786782390463244,0.22516666666666665,0.2146513115802943,0.3333333333333333,0.25,0.16666666666666666};0,1032737812
3;113;Spitzhorn;250;Colfosco 2;349;284;1.730;1.300;869;697;easy;easy;blue;blue;2;3;{0.01824741190003137,0.14416666666666667,0.2779910428662828,0.3333333333333333,0.25,0.16666666666666666};{0.014848896789710343,0.10833333333333334,0.22296865003198976,0.3333333333333333,0.25,0.25};0,1061484142
1;114;Alpen;131;Miara;349;247;1.756;1.976;322;351;easy;easy;blue;blue;2;2;{0.01824741190003137,0.14633333333333334,0.10300703774792067,0.3333333333333333,0.25,0.16666666666666666};{0.01291435741921991,0.16466666666666666,0.11228406909788867,0.3333333333333333,0.25,0.16666666666666666};0,0212277152
2;114;Alpen;104;Belvedere 8;349;68;1.756;1.400;322;301;easy;easy;blue;blue;2;2;{0.01824741190003137,0.14633333333333334,0.10300703774792067,0.3333333333333333,0.25,0.16666666666666666};{0.003555369653874307,0.11666666666666667,0.09628918746001279,0.3333333333333333,0.25,0.16666666666666666};0,0337801233
3;114;Alpen;139;Riepen;349;362;1.756;1.700;322;460;easy;easy;blue;blue;2;2;{0.01824741190003137,0.14633333333333334,0.10300703774792067,0.3333333333333333,0.25,0.16666666666666666};{0.018927114922095575,0.14166666666666666,0.1471529110684581,0.3333333333333333,0.25,0.16666666666666666};0,0443970484
1;115;Pracken;116;Ruipa;184;206;892;890;277;271;easy;easy;blue;blue;2;2;{0.009620412004601066,0.07433333333333333,0.08861164427383238,0.3333333333333333,0.25,0.16666666666666666};{0.010770678657325106,0.07416666666666667,0.08669225847728727,0.3333333333333333,0.25,0.16666666666666666};0,0022438656
2;115;Pracken;106;Sonne;184;206;892;900;277;261;easy;easy;blue;blue;2;2;{0.009620412004601066,0.07433333333333333,0.08861164427383238,0.3333333333333333,0.25,0.16666666666666666};{0.010770678657325106,0.075,0.08349328214971209,0.3333333333333333,0.25,0.16666666666666666};0,0052882122
3;115;Pracken;140;Guggenberg;184;181;892;950;277;257;easy;easy;blue;blue;2;2;{0.009620412004601066,0.07433333333333333,0.08861164427383238,0.3333333333333333,0.25,0.16666666666666666};{0.009463557461047788,0.07916666666666666,0.08221369161868203,0.3333333333333333,0.25,0.16666666666666666};0,0080199447
1;116;Ruipa;115;Pracken;206;184;890;892;271;277;easy;easy;blue;blue;2;2;{0.010770678657325106,0.07416666666666667,0.08669225847728727,0.3333333333333333,0.25,0.16666666666666666};{0.009620412004601066,0.07433333333333333,0.08861164427383238,0.3333333333333333,0.25,0.16666666666666666};0,0022438656
2;116;Ruipa;106;Sonne;206;206;890;900;271;261;easy;easy;blue;blue;2;2;{0.010770678657325106,0.07416666666666667,0.08669225847728727,0.3333333333333333,0.25,0.16666666666666666};{0.010770678657325106,0.075,0.08349328214971209,0.3333333333333333,0.25,0.16666666666666666};0,0033057365
3;116;Ruipa;140;Guggenberg;206;181;890;950;271;257;easy;easy;blue;blue;2;2;{0.010770678657325106,0.07416666666666667,0.08669225847728727,0.3333333333333333,0.25,0.16666666666666666};{0.009463557461047788,0.07916666666666666,0.08221369161868203,0.3333333333333333,0.25,0.16666666666666666};0,0068385764
1;117;Gassl;155;Bo̩;908;657;3.320;3.300;731;581;medium;medium;red;red;2;3;{0.04747464184879222,0.27666666666666667,0.23384516954574536,0.6666666666666666,0.5,0.16666666666666666};{0.03435114503816794,0.275,0.18586052463211772,0.6666666666666666,0.5,0.25};0,097066856
2;117;Gassl;201;Altin;908;560;3.320;3.200;731;555;medium;medium;red;red;2;3;{0.04747464184879222,0.27666666666666667,0.23384516954574536,0.6666666666666666,0.5,0.16666666666666666};{0.029279514796611943,0.26666666666666666,0.17754318618042225,0.6666666666666666,0.5,0.25};0,1026908975
3;117;Gassl;69;Rio Gere;908;529;3.320;2.556;731;773;medium;medium;red;red;2;1;{0.04747464184879222,0.27666666666666667,0.23384516954574536,0.6666666666666666,0.5,0.16666666666666666};{0.027658684513228067,0.213,0.2472808701215611,0.6666666666666666,0.5,0.08333333333333333};0,1075689505
1;119;Arndt;99;Pramstall;410;541;2.028;2.000;451;448;medium;medium;red;red;2;2;{0.02143678761894803,0.169,0.14427383237364044,0.6666666666666666,0.5,0.16666666666666666};{0.02828610268744118,0.16666666666666666,0.1433141394753679,0.6666666666666666,0.5,0.16666666666666666};0,0072992172
2;119;Arndt;137;Piz de Plaies;410;435;2.028;2.310;451;457;medium;medium;red;red;2;2;{0.02143678761894803,0.169,0.14427383237364044,0.6666666666666666,0.5,0.16666666666666666};{0.02274390881522535,0.1925,0.14619321817018555,0.6666666666666666,0.5,0.16666666666666666};0,0236144576
3;119;Arndt;130;Col Toron;410;336;2.028;1.782;451;379;medium;medium;red;red;2;2;{0.02143678761894803,0.169,0.14427383237364044,0.6666666666666666,0.5,0.16666666666666666};{0.017567708877967166,0.1485,0.12124120281509917,0.6666666666666666,0.5,0.16666666666666666};0,0310760647
1;120;World Record Piste;95;Seewiese;506;408;1.650;1.250;647;736;medium;medium;red;red;2;2;{0.026456133012652934,0.1375,0.20697376839411388,0.6666666666666666,0.5,0.16666666666666666};{0.021332217923245845,0.10416666666666667,0.23544465770953296,0.6666666666666666,0.5,0.16666666666666666};0,0441356676
2;120;World Record Piste;127;Pre da Peres;506;277;1.650;1.067;647;576;medium;medium;red;red;2;2;{0.026456133012652934,0.1375,0.20697376839411388,0.6666666666666666,0.5,0.16666666666666666};{0.014482902854752693,0.08891666666666667,0.18426103646833014,0.6666666666666666,0.5,0.16666666666666666};0,0549505843
3;120;World Record Piste;99;Pramstall;506;541;1.650;2.000;647;448;medium;medium;red;red;2;2;{0.026456133012652934,0.1375,0.20697376839411388,0.6666666666666666,0.5,0.16666666666666666};{0.02828610268744118,0.16666666666666666,0.1433141394753679,0.6666666666666666,0.5,0.16666666666666666};0,0700470669
1;121;Lorenzi;102;Plateau;363;248;1.334;1.114;431;410;easy;easy;blue;blue;2;2;{0.01897939976994667,0.11116666666666666,0.13787587971849008,0.3333333333333333,0.25,0.16666666666666666};{0.012966642267071003,0.09283333333333334,0.13115802943058222,0.3333333333333333,0.25,0.16666666666666666};0,0204302197
2;121;Lorenzi;110;Korer 2;363;160;1.334;1.100;431;448;easy;easy;blue;blue;2;2;{0.01897939976994667,0.11116666666666666,0.13787587971849008,0.3333333333333333,0.25,0.16666666666666666};{0.00836557565617484,0.09166666666666666,0.1433141394753679,0.3333333333333333,0.25,0.16666666666666666};0,0228577762
3;121;Lorenzi;101;Olang 2;363;201;1.334;1.200;431;373;easy;easy;blue;blue;2;2;{0.01897939976994667,0.11116666666666666,0.13787587971849008,0.3333333333333333,0.25,0.16666666666666666};{0.010509254418069644,0.1,0.11932181701855406,0.3333333333333333,0.25,0.16666666666666666};0,0232527643
1;122;Hinterberg;123;Marchner;700;556;2.900;2.280;444;467;easy;easy;blue;blue;2;2;{0.03659939349576493,0.24166666666666667,0.1420345489443378,0.3333333333333333,0.25,0.16666666666666666};{0.02907037540520757,0.19,0.14939219449776073,0.3333333333333333,0.25,0.16666666666666666};0,052728223
2;122;Hinterberg;105;Furcia 9;700;533;2.900;2.702;444;671;easy;easy;blue;blue;2;2;{0.03659939349576493,0.24166666666666667,0.1420345489443378,0.3333333333333333,0.25,0.16666666666666666};{0.02786782390463244,0.22516666666666665,0.2146513115802943,0.3333333333333333,0.25,0.16666666666666666};0,0749778936
3;122;Hinterberg;131;Miara;700;247;2.900;1.976;444;351;easy;easy;blue;blue;2;2;{0.03659939349576493,0.24166666666666667,0.1420345489443378,0.3333333333333333,0.25,0.16666666666666666};{0.01291435741921991,0.16466666666666666,0.11228406909788867,0.3333333333333333,0.25,0.16666666666666666};0,0858782393
1;123;Marchner;131;Miara;556;247;2.280;1.976;467;351;easy;easy;blue;blue;2;2;{0.02907037540520757,0.19,0.14939219449776073,0.3333333333333333,0.25,0.16666666666666666};{0.01291435741921991,0.16466666666666666,0.11228406909788867,0.3333333333333333,0.25,0.16666666666666666};0,0477473315
2;123;Marchner;139;Riepen;556;362;2.280;1.700;467;460;easy;easy;blue;blue;2;2;{0.02907037540520757,0.19,0.14939219449776073,0.3333333333333333,0.25,0.16666666666666666};{0.018927114922095575,0.14166666666666666,0.1471529110684581,0.3333333333333333,0.25,0.16666666666666666};0,049436942
3;123;Marchner;122;Hinterberg;556;700;2.280;2.900;467;444;easy;easy;blue;blue;2;2;{0.02907037540520757,0.19,0.14939219449776073,0.3333333333333333,0.25,0.16666666666666666};{0.03659939349576493,0.24166666666666667,0.1420345489443378,0.3333333333333333,0.25,0.16666666666666666};0,052728223
1;124;Costa 29;143;Antermoia;123;174;923;800;183;217;easy;easy;blue;blue;2;2;{0.006431036285684409,0.07691666666666666,0.05854126679462572,0.3333333333333333,0.25,0.16666666666666666};{0.00909756352609014,0.06666666666666667,0.06941778630838132,0.3333333333333333,0.25,0.16666666666666666};0,0151812893
2;124;Costa 29;133;Corn;123;104;923;765;183;207;easy;easy;blue;blue;2;2;{0.006431036285684409,0.07691666666666666,0.05854126679462572,0.3333333333333333,0.25,0.16666666666666666};{0.005437624176513646,0.06375,0.06621880998080615,0.3333333333333333,0.25,0.16666666666666666};0,0152739205
3;124;Costa 29;142;Terenten;123;174;923;850;183;230;easy;easy;blue;blue;2;2;{0.006431036285684409,0.07691666666666666,0.05854126679462572,0.3333333333333333,0.25,0.16666666666666666};{0.00909756352609014,0.07083333333333333,0.07357645553422905,0.3333333333333333,0.25,0.16666666666666666};0,016436977
1;125;Costa 30;124;Costa 29;123;123;790;923;144;183;easy;easy;blue;blue;2;2;{0.006431036285684409,0.06583333333333333,0.046065259117082535,0.3333333333333333,0.25,0.16666666666666666};{0.006431036285684409,0.07691666666666666,0.05854126679462572,0.3333333333333333,0.25,0.16666666666666666};0,016688051
2;125;Costa 30;133;Corn;123;104;790;765;144;207;easy;easy;blue;blue;2;2;{0.006431036285684409,0.06583333333333333,0.046065259117082535,0.3333333333333333,0.25,0.16666666666666666};{0.005437624176513646,0.06375,0.06621880998080615,0.3333333333333333,0.25,0.16666666666666666};0,0202852843
